B01003_001E,B02001_002E,B02001_003E,B03003_003E,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B25003_001E,B25003_002E,B25003_003E,B25002_001E,B25002_003E,B19013_001E,B25064_001E,B05002_013E,B08301_001E,B08301_019E,NAME,state,county,tract,block group,ca_id,ca_name,year,geoid_bg,share_white,share_black,share_hispanic,ba_plus_total,share_ba_plus,renter_share,homeownership_rate,vacancy_rate,med_income,med_income_log,med_rent,med_rent_log,foreign_born_share,walk_to_work_share
1396,1319.0,,8.0,861,318.0,187.0,207.0,25.0,451,437,14.0,494,43.0,189632,,,543,23.0,"Block Group 2, Census Tract 8001, Cook County, Illinois",17,031,800100,2,15,Portage Park,2014,170318001002,0.9448424068767909,,0.0057306590257879654,737.0,0.8559814169570267,0.031042128603104215,0.9689578713968958,0.08704453441295547,189632,12.152845904290915,,,,0.0423572744014733
1197,1157.0,,22.0,783,379.0,157.0,114.0,50.0,381,351,30.0,395,14.0,250001,943.0,,480,6.0,"Block Group 1, Census Tract 8001, Cook County, Illinois",17,031,800100,1,15,Portage Park,2014,170318001001,0.9665831244778613,,0.018379281537176273,700.0,0.8939974457215837,0.07874015748031496,0.9212598425196851,0.035443037974683546,250001,12.429224196812383,943.0,6.8501261661455,,0.0125
1295,1235.0,30.0,110.0,836,342.0,172.0,218.0,18.0,502,355,147.0,540,38.0,157679,1320.0,,563,51.0,"Block Group 2, Census Tract 8002, Cook County, Illinois",17,031,800200,2,15,Portage Park,2014,170318002002,0.9536679536679536,0.023166023166023165,0.08494208494208494,750.0,0.8971291866028708,0.29282868525896416,0.7071713147410359,0.07037037037037037,157679,11.968322941826601,1320.0,7.186144304522325,,0.0905861456483126
667,651.0,16.0,55.0,375,112.0,175.0,13.0,14.0,219,219,,238,19.0,250001,,,329,,"Block Group 3, Census Tract 8002, Cook County, Illinois",17,031,800200,3,15,Portage Park,2014,170318002003,0.9760119940029985,0.0239880059970015,0.08245877061469266,314.0,0.8373333333333334,,1.0,0.07983193277310924,250001,12.429224196812383,,,,
1117,1042.0,18.0,,786,243.0,240.0,187.0,28.0,408,408,,499,91.0,111583,,,461,,"Block Group 5, Census Tract 8002, Cook County, Illinois",17,031,800200,5,15,Portage Park,2014,170318002005,0.9328558639212176,0.01611459265890779,,698.0,0.8880407124681934,,1.0,0.18236472945891782,111583,11.622532949475378,,,,
1291,1275.0,,34.0,884,344.0,217.0,158.0,29.0,459,459,,459,,203295,,,698,13.0,"Block Group 1, Census Tract 8002, Cook County, Illinois",17,031,800200,1,15,Portage Park,2014,170318002001,0.9876065065840434,,0.026336173508907823,748.0,0.8461538461538461,,1.0,,203295,12.22241832406626,,,,0.01862464183381089
1008,955.0,,16.0,588,155.0,126.0,77.0,,341,341,,341,,126477,,,420,,"Block Group 4, Census Tract 8002, Cook County, Illinois",17,031,800200,4,15,Portage Park,2014,170318002004,0.9474206349206349,,0.015873015873015872,358.0,0.608843537414966,,1.0,,126477,11.747823658981607,,,,
853,836.0,,,589,201.0,134.0,207.0,19.0,291,291,,323,32.0,199338,,,288,16.0,"Block Group 6, Census Tract 8002, Cook County, Illinois",17,031,800200,6,15,Portage Park,2014,170318002006,0.9800703399765534,,,561.0,0.9524617996604414,,1.0,0.09907120743034056,199338,12.202762171954234,,,,0.05555555555555555
497,469.0,,,381,191.0,25.0,65.0,16.0,194,169,25.0,242,48.0,133646,2001.0,,201,12.0,"Block Group 2, Census Tract 8003, Cook County, Illinois",17,031,800300,2,15,Portage Park,2014,170318003002,0.9436619718309859,,,297.0,0.7795275590551181,0.12886597938144329,0.8711340206185567,0.19834710743801653,133646,11.80295727462602,2001.0,7.601901959875166,,0.05970149253731343
1188,1094.0,28.0,119.0,685,192.0,140.0,78.0,117.0,405,326,79.0,460,55.0,126010,944.0,,523,3.0,"Block Group 1, Census Tract 8003, Cook County, Illinois",17,031,800300,1,15,Portage Park,2014,170318003001,0.9208754208754208,0.02356902356902357,0.10016835016835017,527.0,0.7693430656934307,0.19506172839506172,0.8049382716049382,0.11956521739130435,126010,11.744124483710355,944.0,6.851184927493743,,0.0057361376673040155
1625,1453.0,,31.0,1027,388.0,327.0,222.0,13.0,532,509,23.0,539,7.0,250001,1979.0,,687,,"Block Group 3, Census Tract 8003, Cook County, Illinois",17,031,800300,3,15,Portage Park,2014,170318003003,0.8941538461538462,,0.019076923076923078,950.0,0.9250243427458618,0.043233082706766915,0.956766917293233,0.012987012987012988,250001,12.429224196812383,1979.0,7.590852123688581,,
1123,943.0,,45.0,711,308.0,203.0,48.0,65.0,385,348,37.0,392,7.0,250001,1258.0,,506,,"Block Group 3, Census Tract 8004, Cook County, Illinois",17,031,800400,3,15,Portage Park,2014,170318004003,0.8397150489759573,,0.04007123775601069,624.0,0.8776371308016878,0.09610389610389611,0.9038961038961039,0.017857142857142856,250001,12.429224196812383,1258.0,7.138073034044347,,
1099,943.0,,10.0,697,211.0,229.0,166.0,43.0,365,338,27.0,393,28.0,250001,1428.0,,454,8.0,"Block Group 1, Census Tract 8004, Cook County, Illinois",17,031,800400,1,15,Portage Park,2014,170318004001,0.8580527752502275,,0.009099181073703366,649.0,0.9311334289813487,0.07397260273972603,0.9260273972602739,0.07124681933842239,250001,12.429224196812383,1428.0,7.264730177929867,,0.01762114537444934
1494,1358.0,,,917,369.0,226.0,160.0,13.0,495,460,35.0,541,46.0,184306,1292.0,,484,31.0,"Block Group 2, Census Tract 8004, Cook County, Illinois",17,031,800400,2,15,Portage Park,2014,170318004002,0.9089692101740294,,,768.0,0.8375136314067612,0.0707070707070707,0.9292929292929293,0.08502772643253234,184306,12.12435812448845,1292.0,7.164720378771857,,0.0640495867768595
1102,1060.0,1.0,4.0,646,253.0,159.0,136.0,25.0,340,335,5.0,340,,196786,,,392,12.0,"Block Group 2, Census Tract 8005, Cook County, Illinois",17,031,800500,2,15,Portage Park,2014,170318005002,0.9618874773139746,0.0009074410163339383,0.003629764065335753,573.0,0.8869969040247678,0.014705882352941176,0.9852941176470589,,196786,12.189877204507868,,,,0.030612244897959183
1270,1170.0,,9.0,793,385.0,258.0,74.0,21.0,416,397,19.0,444,28.0,240417,,,588,,"Block Group 4, Census Tract 8005, Cook County, Illinois",17,031,800500,4,15,Portage Park,2014,170318005004,0.9212598425196851,,0.007086614173228346,738.0,0.9306431273644389,0.04567307692307692,0.9543269230769231,0.06306306306306306,240417,12.390134354048168,,,,
835,804.0,,,586,207.0,177.0,48.0,45.0,313,223,90.0,368,55.0,122067,1179.0,,297,12.0,"Block Group 1, Census Tract 8005, Cook County, Illinois",17,031,800500,1,15,Portage Park,2014,170318005001,0.962874251497006,,,477.0,0.8139931740614335,0.28753993610223644,0.7124600638977636,0.14945652173913043,122067,11.712333545487683,1179.0,7.07326971745971,,0.04040404040404041
1043,966.0,,,566,243.0,151.0,147.0,17.0,311,302,9.0,311,,250001,,,343,,"Block Group 3, Census Tract 8005, Cook County, Illinois",17,031,800500,3,15,Portage Park,2014,170318005003,0.9261744966442953,,,558.0,0.9858657243816255,0.028938906752411574,0.9710610932475884,,250001,12.429224196812383,,,,
1016,859.0,,106.0,551,185.0,170.0,89.0,,276,254,22.0,276,,250001,,,341,,"Block Group 5, Census Tract 8005, Cook County, Illinois",17,031,800500,5,15,Portage Park,2014,170318005005,0.8454724409448819,,0.10433070866141732,444.0,0.8058076225045372,0.07971014492753623,0.9202898550724637,,250001,12.429224196812383,,,,
1086,1057.0,,51.0,675,312.0,187.0,114.0,11.0,357,301,56.0,370,13.0,152344,2001.0,,403,,"Block Group 2, Census Tract 8006, Cook County, Illinois",17,031,800600,2,15,Portage Park,2014,170318006002,0.9732965009208103,,0.04696132596685083,624.0,0.9244444444444444,0.1568627450980392,0.8431372549019608,0.03513513513513514,152344,11.933902964708901,2001.0,7.601901959875166,,
1512,1434.0,26.0,,878,338.0,257.0,119.0,60.0,437,419,18.0,496,59.0,244688,675.0,,508,17.0,"Block Group 1, Census Tract 8006, Cook County, Illinois",17,031,800600,1,15,Portage Park,2014,170318006001,0.9484126984126984,0.017195767195767195,,774.0,0.8815489749430524,0.041189931350114416,0.9588100686498856,0.11895161290322581,244688,12.407743295416669,675.0,6.516193076042964,,0.03346456692913386
2221,2105.0,,79.0,1358,576.0,292.0,267.0,22.0,672,631,41.0,672,,178111,2001.0,,852,,"Block Group 2, Census Tract 8007, Cook County, Illinois",17,031,800700,2,15,Portage Park,2014,170318007002,0.9477712742008104,,0.03556956325979289,1157.0,0.8519882179675994,0.06101190476190476,0.9389880952380952,,178111,12.090167844885563,2001.0,7.601901959875166,,
894,839.0,,42.0,540,250.0,138.0,78.0,28.0,309,285,24.0,309,,147031,,,342,20.0,"Block Group 3, Census Tract 8007, Cook County, Illinois",17,031,800700,3,15,Portage Park,2014,170318007003,0.9384787472035794,,0.04697986577181208,494.0,0.9148148148148149,0.07766990291262135,0.9223300970873787,,147031,11.89840552914531,,,,0.05847953216374269
702,683.0,,119.0,465,143.0,227.0,36.0,,251,223,28.0,260,9.0,221125,,,308,9.0,"Block Group 1, Census Tract 8007, Cook County, Illinois",17,031,800700,1,15,Portage Park,2014,170318007001,0.9729344729344729,,0.16951566951566951,406.0,0.8731182795698925,0.11155378486055777,0.8884462151394422,0.03461538461538462,221125,12.30648795378086,,,,0.02922077922077922
1233,1048.0,,59.0,812,317.0,155.0,104.0,83.0,437,410,27.0,446,9.0,126823,869.0,,556,8.0,"Block Group 4, Census Tract 8007, Cook County, Illinois",17,031,800700,4,15,Portage Park,2014,170318007004,0.8499594484995945,,0.047850770478507706,659.0,0.8115763546798029,0.06178489702517163,0.9382151029748284,0.020179372197309416,126823,11.750555577523064,869.0,6.76849321164863,,0.014388489208633094
2157,1754.0,,50.0,1588,709.0,291.0,146.0,23.0,955,821,134.0,1175,220.0,85375,1535.0,,1037,6.0,"Block Group 1, Census Tract 8008, Cook County, Illinois",17,031,800800,1,15,Portage Park,2014,170318008001,0.8131664348632359,,0.023180343069077423,1169.0,0.7361460957178841,0.14031413612565444,0.8596858638743455,0.18723404255319148,85375,11.35482030983524,1535.0,7.336936913707618,,0.0057859209257473485
1182,213.0,775.0,388.0,664,57.0,11.0,,,336,164,172.0,441,105.0,42917,963.0,,400,27.0,"Block Group 2, Census Tract 2502, Cook County, Illinois",17,031,250200,2,25,Austin,2014,170312502002,0.1802030456852792,0.6556683587140439,0.32825719120135366,68.0,0.10240963855421686,0.5119047619047619,0.4880952380952381,0.23809523809523808,42917,10.667046597336439,963.0,6.871091294610546,,0.0675
1786,286.0,1077.0,847.0,855,22.0,32.0,,,440,218,222.0,482,42.0,35833,1053.0,,579,12.0,"Block Group 1, Census Tract 2502, Cook County, Illinois",17,031,250200,1,25,Austin,2014,170312502001,0.1601343784994401,0.603023516237402,0.4742441209406495,54.0,0.06315789473684211,0.5045454545454545,0.4954545454545455,0.08713692946058091,35833,10.486652442359842,1053.0,6.960347729101308,,0.02072538860103627
1959,168.0,988.0,832.0,1071,161.0,74.0,,,596,322,274.0,639,43.0,32061,810.0,,745,,"Block Group 1, Census Tract 2503, Cook County, Illinois",17,031,250300,1,25,Austin,2014,170312503001,0.08575803981623277,0.5043389484430832,0.42470648289943846,235.0,0.21942110177404295,0.4597315436241611,0.540268456375839,0.06729264475743349,32061,10.37542680724962,810.0,6.698268054115413,,
1299,9.0,1211.0,79.0,891,25.0,13.0,,,479,168,311.0,642,163.0,35461,1030.0,,578,,"Block Group 3, Census Tract 2503, Cook County, Illinois",17,031,250300,3,25,Austin,2014,170312503003,0.006928406466512702,0.9322555812163202,0.06081601231716705,38.0,0.04264870931537598,0.6492693110647182,0.35073068893528186,0.2538940809968847,35461,10.476216979616934,1030.0,6.93828448401696,,
549,54.0,389.0,89.0,356,,,,,176,71,105.0,208,32.0,30893,928.0,,158,,"Block Group 4, Census Tract 2503, Cook County, Illinois",17,031,250300,4,25,Austin,2014,170312503004,0.09836065573770492,0.7085610200364298,0.1621129326047359,0.0,0.0,0.5965909090909091,0.4034090909090909,0.15384615384615385,30893,10.338317269274196,928.0,6.834108738813838,,
968,7.0,872.0,89.0,607,153.0,22.0,,,352,103,249.0,400,48.0,28462,906.0,,383,,"Block Group 2, Census Tract 2503, Cook County, Illinois",17,031,250300,2,25,Austin,2014,170312503002,0.007231404958677686,0.9008264462809917,0.09194214876033058,175.0,0.2883031301482702,0.7073863636363636,0.29261363636363635,0.12,28462,10.256360277191787,906.0,6.810142450115136,,
1794,,1529.0,265.0,1188,59.0,,,,485,211,274.0,568,83.0,36741,891.0,,690,11.0,"Block Group 3, Census Tract 2504, Cook County, Illinois",17,031,250400,3,25,Austin,2014,170312504003,,0.8522853957636566,0.14771460423634336,59.0,0.049663299663299666,0.5649484536082474,0.4350515463917526,0.14612676056338028,36741,10.511675793868882,891.0,6.79346613258001,,0.015942028985507246
1113,54.0,877.0,182.0,773,81.0,32.0,16.0,,429,181,248.0,492,63.0,45037,846.0,,382,,"Block Group 4, Census Tract 2504, Cook County, Illinois",17,031,250400,4,25,Austin,2014,170312504004,0.04851752021563342,0.7879604672057502,0.16352201257861634,129.0,0.16688227684346701,0.578088578088578,0.4219114219114219,0.12804878048780488,45037,10.715261856854285,846.0,6.741700694652055,,
446,,390.0,56.0,357,29.0,,,,236,74,162.0,236,,22973,959.0,,146,,"Block Group 1, Census Tract 2504, Cook County, Illinois",17,031,250400,1,25,Austin,2014,170312504001,,0.874439461883408,0.12556053811659193,29.0,0.08123249299719888,0.6864406779661016,0.3135593220338983,,22973,10.04211842070535,959.0,6.866933284461882,,
1626,133.0,1205.0,457.0,1023,19.0,,,,489,227,262.0,538,49.0,34647,875.0,,538,,"Block Group 5, Census Tract 2504, Cook County, Illinois",17,031,250400,5,25,Austin,2014,170312504005,0.08179581795817958,0.7410824108241082,0.2810578105781058,19.0,0.01857282502443793,0.5357873210633947,0.46421267893660534,0.09107806691449814,34647,10.452995282894463,875.0,6.775366090936392,,
984,28.0,828.0,207.0,672,54.0,,,,357,135,222.0,357,,31642,868.0,,330,,"Block Group 2, Census Tract 2504, Cook County, Illinois",17,031,250400,2,25,Austin,2014,170312504002,0.028455284552845527,0.8414634146341463,0.21036585365853658,54.0,0.08035714285714286,0.6218487394957983,0.37815126050420167,,31642,10.36227223407451,868.0,6.767343125265392,,
1238,582.0,434.0,309.0,834,73.0,99.0,,,493,378,115.0,493,,39156,909.0,,496,,"Block Group 7, Census Tract 2505, Cook County, Illinois",17,031,250500,7,25,Austin,2014,170312505007,0.4701130856219709,0.3505654281098546,0.2495961227786753,172.0,0.20623501199040767,0.2332657200811359,0.7667342799188641,,39156,10.57533448492537,909.0,6.813444599510896,,
625,489.0,136.0,177.0,483,134.0,85.0,,,263,230,33.0,263,,66224,,,350,,"Block Group 5, Census Tract 2505, Cook County, Illinois",17,031,250500,5,25,Austin,2014,170312505005,0.7824,0.2176,0.2832,219.0,0.453416149068323,0.12547528517110265,0.8745247148288974,,66224,11.10081331414027,,,,
1617,672.0,546.0,782.0,905,293.0,154.0,,,471,414,57.0,471,,76691,,,650,,"Block Group 1, Census Tract 2505, Cook County, Illinois",17,031,250500,1,25,Austin,2014,170312505001,0.4155844155844156,0.33766233766233766,0.4836116264687693,447.0,0.49392265193370166,0.12101910828025478,0.8789808917197452,,76691,11.247552679438282,,,,
