B01003_001E,B02001_002E,B02001_003E,B03003_003E,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B25003_001E,B25003_002E,B25003_003E,B25002_001E,B25002_003E,B19013_001E,B25064_001E,B05002_013E,B08301_001E,B08301_019E,NAME,state,county,tract,block group,ca_id,ca_name,year,geoid_bg,share_white,share_black,share_hispanic,ba_plus_total,share_ba_plus,renter_share,homeownership_rate,vacancy_rate,med_income,med_income_log,med_rent,med_rent_log,foreign_born_share,walk_to_work_share
889,863.0,,5.0,614,261.0,153.0,77.0,15.0,325,312,13.0,325,,250001.0,,,373,,Block Group 1; Census Tract 8001; Cook County; Illinois,17,031,800100,1,15,Portage Park,2022,170318001001,0.9707536557930259,,0.00562429696287964,506.0,0.8241042345276873,0.04,0.96,,250001.0,12.429224196812383,,,,
1478,1325.0,51.0,27.0,938,367.0,297.0,174.0,19.0,500,500,,548,48.0,250001.0,,,535,,Block Group 2; Census Tract 8001; Cook County; Illinois,17,031,800100,2,15,Portage Park,2022,170318001002,0.8964817320703654,0.03450608930987822,0.018267929634641408,857.0,0.9136460554371002,,1.0,0.08759124087591241,250001.0,12.429224196812383,,,,
1736,1612.0,36.0,,1118,486.0,309.0,135.0,32.0,547,536,11.0,547,,212574.0,,,571,,Block Group 1; Census Tract 8002; Cook County; Illinois,17,031,800200,1,15,Portage Park,2022,170318002001,0.9285714285714286,0.020737327188940093,,962.0,0.8604651162790697,0.02010968921389397,0.979890310786106,,212574.0,12.267050146253993,,,,
999,947.0,13.0,11.0,627,205.0,178.0,167.0,,392,301,91.0,392,,250001.0,1361.0,,450,11.0,Block Group 2; Census Tract 8002; Cook County; Illinois,17,031,800200,2,15,Portage Park,2022,170318002002,0.9479479479479479,0.013013013013013013,0.011011011011011011,550.0,0.8771929824561403,0.23214285714285715,0.7678571428571429,,250001.0,12.429224196812383,1361.0,7.216709486709457,,0.024444444444444446
916,894.0,22.0,63.0,550,112.0,93.0,132.0,,276,276,,332,56.0,,,,334,10.0,Block Group 3; Census Tract 8002; Cook County; Illinois,17,031,800200,3,15,Portage Park,2022,170318002003,0.9759825327510917,0.024017467248908297,0.06877729257641921,337.0,0.6127272727272727,,1.0,0.1686746987951807,,,,,,0.029940119760479042
843,816.0,,,583,190.0,203.0,117.0,48.0,338,310,28.0,431,93.0,171184.0,,,400,45.0,Block Group 4; Census Tract 8002; Cook County; Illinois,17,031,800200,4,15,Portage Park,2022,170318002004,0.9679715302491103,,,558.0,0.9571183533447685,0.08284023668639054,0.9171597633136095,0.21577726218097448,171184.0,12.05050012202877,,,,0.1125
857,788.0,,,544,284.0,69.0,127.0,11.0,304,289,15.0,345,41.0,145611.0,,,333,,Block Group 5; Census Tract 8002; Cook County; Illinois,17,031,800200,5,15,Portage Park,2022,170318002005,0.9194865810968494,,,491.0,0.9025735294117647,0.049342105263157895,0.9506578947368421,0.11884057971014493,145611.0,11.888700828930999,,,,
1069,1004.0,65.0,83.0,743,246.0,358.0,51.0,26.0,390,336,54.0,390,,250001.0,3501.0,,305,20.0,Block Group 6; Census Tract 8002; Cook County; Illinois,17,031,800200,6,15,Portage Park,2022,170318002006,0.9391955098222639,0.0608044901777362,0.07764265668849392,681.0,0.9165545087483177,0.13846153846153847,0.8615384615384616,,250001.0,12.429224196812383,3501.0,8.161089512845797,,0.06557377049180328
1267,1176.0,,52.0,693,270.0,243.0,51.0,70.0,394,343,51.0,448,54.0,250001.0,1386.0,,460,11.0,Block Group 1; Census Tract 8003; Cook County; Illinois,17,031,800300,1,15,Portage Park,2022,170318003001,0.9281767955801105,,0.04104183109707971,634.0,0.9148629148629148,0.12944162436548223,0.8705583756345178,0.12053571428571429,250001.0,12.429224196812383,1386.0,7.234898420314831,,0.02391304347826087
495,485.0,,,374,149.0,96.0,52.0,37.0,197,197,,222,25.0,203346.0,,,99,,Block Group 2; Census Tract 8003; Cook County; Illinois,17,031,800300,2,15,Portage Park,2022,170318003002,0.9797979797979798,,,334.0,0.893048128342246,,1.0,0.11261261261261261,203346.0,12.222669158337439,,,,
1541,1322.0,,18.0,1023,381.0,386.0,142.0,18.0,536,536,,662,126.0,250001.0,,,617,35.0,Block Group 3; Census Tract 8003; Cook County; Illinois,17,031,800300,3,15,Portage Park,2022,170318003003,0.8578844905905256,,0.011680726800778715,927.0,0.906158357771261,,1.0,0.1903323262839879,250001.0,12.429224196812383,,,,0.05672609400324149
